hour,day_of_week,month,zone,weather,is_holiday,temperature_c,demand
6,4,4,Zone_C,rain,1,16.0,155.5
19,0,6,Zone_D,clear,0,23.1,43.7
14,0,6,Zone_B,clear,0,33.4,72.3
10,0,10,Zone_A,rain,0,24.4,136.2
7,1,5,Zone_D,clear,0,16.9,177.6
20,3,10,Zone_C,clear,0,16.3,22.8
6,0,6,Zone_C,clear,0,34.5,172.8
18,3,10,Zone_C,clear,0,26.9,32.2
22,5,12,Zone_A,clear,0,25.4,26.0
10,6,12,Zone_D,clear,0,31.7,119.1
10,6,5,Zone_B,clear,0,19.5,119.4
23,0,8,Zone_C,rain,0,30.6,92.3
20,1,4,Zone_C,clear,0,21.7,50.7
3,0,8,Zone_C,rain,0,24.7,131.6
7,6,8,Zone_B,clear,0,16.6,149.7
23,5,3,Zone_B,clear,0,-1.4,68.3
2,2,5,Zone_A,clear,0,18.2,133.0
21,1,11,Zone_B,rain,0,38.0,45.2
20,6,7,Zone_D,clear,0,38.4,0.0
1,0,11,Zone_C,clear,0,21.7,119.2
23,0,10,Zone_C,clear,0,22.5,90.8
11,0,8,Zone_D,clear,0,19.6,132.8
5,2,7,Zone_C,clear,0,21.3,190.0
1,2,7,Zone_B,snow,0,12.9,82.2
20,6,1,Zone_D,clear,0,28.8,0.0
0,0,5,Zone_B,clear,0,24.1,119.8
11,6,10,Zone_B,rain,0,17.6,71.4
21,2,12,Zone_A,rain,0,33.8,20.5
11,0,12,Zone_A,clear,0,20.1,155.3
16,2,4,Zone_D,rain,0,26.6,25.7
9,3,10,Zone_D,fog,0,20.8,130.4
15,5,6,Zone_B,clear,0,32.3,16.3
14,6,9,Zone_B,fog,0,21.6,0.0
14,0,12,Zone_B,clear,0,35.0,81.0
18,5,4,Zone_A,rain,0,22.0,0.0
11,0,10,Zone_D,clear,0,18.0,137.8
22,4,7,Zone_D,rain,0,18.8,49.7
19,4,2,Zone_D,clear,0,21.8,26.8
2,1,3,Zone_C,fog,1,11.6,98.7
4,3,8,Zone_C,clear,0,30.0,180.5
18,3,3,Zone_A,clear,0,37.3,32.6
6,1,11,Zone_A,snow,0,22.6,176.3
20,4,9,Zone_B,rain,0,18.1,13.8
8,6,4,Zone_A,fog,0,19.6,133.7
6,1,10,Zone_C,clear,0,25.7,207.3
17,4,3,Zone_B,clear,0,23.9,42.5
3,6,2,Zone_C,clear,0,11.4,120.9
13,0,12,Zone_D,clear,0,27.4,79.8
17,5,2,Zone_C,fog,0,25.5,0.0
8,1,1,Zone_C,fog,0,15.6,145.9
20,2,4,Zone_C,clear,1,14.4,28.0
1,5,7,Zone_A,clear,0,21.4,90.4
19,4,4,Zone_A,rain,0,33.1,27.4
14,0,2,Zone_C,clear,0,13.3,75.9
6,6,11,Zone_B,rain,1,24.4,115.8
11,2,6,Zone_D,rain,0,24.2,91.2
7,2,11,Zone_B,clear,1,29.1,171.6
